Artist,Title,Lyrics
Julien Baker,Hurt Less," I used to never wear a seatbelt 'Cause I said I didn't care What happened And I didn't see the point In trying to save myself From an accident 'Cause if somebody's gonna help me What's this fabric gonna help? And when I'm pitched through the windshield I hope the last thing that I felt before the pavement Was my body float I hope my soul goes too   I shouldn't have let you leave I should have called you twice But I didn't 'Cause it's always something else And I know it's a bad time But there's no one left for me to call And I was wondering if you would be my ride And damn it, we are gonna figure something out If it takes me all night to make it hurt less   Leave the car running I'm not ready to go It doesn't matter where I just don't want to be alone And as long as you're not tired yet Of talking, it helps to make it hurt less   Oh, leave the car running I'm not ready to go And it doesn't matter where I just don't want to be alone And as long as you're not tired yet Of talking, it helps to make it hurt less   This year I've started wearing safety belts When I'm driving Because when I'm with you I don't have to think about myself And it hurts less"
Julien Baker,Brittle Boned,"The low, electric glow  static snows in the lobby Dull TV, magazines, waiting rooms can't hide me From the sting, paper sheets, bloodwork and the IV And the whirring machines while the nurses reassure me This will be quick and easy, I'm not gonna feel a thing Lie and say it'll be alright, like a stray falling asleep 'Cause I'm so good at hurting myself  Pulse is slow, faint metronome on my left side Beneath my protruding spine You can hardly hear at night White flag, blindfold covering my sunken eyes And a line of rifles aimed at my sick mind  'Cause I'm so good at hurting myself"
Julien Baker,Funeral Pyre,"I wake up with the same pain every night Digging a hatchet into my left side Clearing my chest of something to burn Ash for a decorative urn you keep in your mantelpiece; Like a trophy for everything That withers eventually  Call me a coward, but I'm too scared to leave 'Cause I want you to be the last thing I see C'mon, call me a coward, because I'm too scared to leave Watched you pouring lighter fluid out onto the leaves  And I would've loved you with the dying fire Let you smother me down to the embers Frostbite turning my limbs as black as cinder of funeral pyre  And I would have stayed if you'd asked me to Stood outside till my lips turn blue I wouldn't have blamed you For leaving me there on the porch while you drank gasoline 'Cause it's what you needed so bad  And it's true It's nothing that we could do"
Julien Baker,Vessels,"Tell me in thin paper about your love Breath like thick water lives in my lungs My skin is full of black ink, in your white clothes For so much I think, little I know  Pull off my armor, knees bruised and naked Peel back my skin, call out my name Vessel of brightness, come make me blind This present darkness is swallowed by light  And my skeleton is a house for my eyes Purchased with a bleeding side"
Julien Baker,Televangelist," My heart is gonna eat itself I don't need anybody's help It's just me, the vacant and nobody else At least that's what I tell myself   'Cause I'm an amputee, with a phantom touch Leaning on an invisible crutch Pinned to the mattress like an insect to styrofoam Calling out from my bedroom alone   And I know what's in my cannibal chest That's been dug out like a strip mine till there's nothing left Hold the chorus in between my ears until I go deaf That remind me exactly what I am every chance they get   Am I a masochist Screaming televangelist Clutching my crucifix Of white noise and static All my prayers are just apologies Hold out a flare until you come for me Do I turn into light if I burn alive"
Julien Baker,Even," When is it too many times To tell you that I think of you every night I don't want to make it hard on you So I could be cruel Yeah I could make you hate me Would that make it easy Did you think I forgot The fireworks, the black eye Trading blows on the fourth of July But you were right, I was asking for it I always am It's no good if the pain doesn't make you feel like you earned it And I probably deserved it   'Cause all you ever say is What's the point; is anybody there to help me now It's not that I think I'm good I know that I'm evil I guess I was trying to even it out   Isn't that what you want For me to be miserable like you Well brother, you're about to get your wish Putting my fist through the plaster in the bathroom of a Motel 6 I must have pictured it all a thousand times I swear to God I think I'm gonna die I know you were right I can't be fixed, so help me   'Cause all you ever say is What's the point; is anybody there to help me now It's not that I think I'm good I know that I'm evil I guess I was trying to even it out"
Julien Baker,Decorated Lawns," Went back home in the winter Moved into my parents house And walked the hallways like a stranger Still havent figured anything out   Cause I still dont know what to do Last year, I swore Id make a noose in the lights Hang out in the gutter Decorate my neck with the colored bulbs So that everyone would laugh at me Laugh at me Laugh at me When you drive around the neighborhood in your SUV Looking for a holiday display with your family And there Ill be, in the yard, dangling   Happier spending December Fulfilling obligations Without the red pin in my calendar Or last call at the Greyhound station   Cause I cant hurry up to you End of every grueling day And for the mundanity we suffer through I wont try to join the pile up on the freeway Crash my car into a ditch, oh darling I wont even think of it anymore   Cause I loved you I loved you I loved you More than I hate me I hate me I hate me   I loved you I loved you I loved you More than I hate me I hate me I hate me   I loved you I loved you I loved you More than I hate me I hate me I hate me   I loved you I loved you I loved you More than I hate me I hate me I hate me"
Julien Baker,Conversation Piece,"Please dont look at me that way Your eyes are so heavy and Im not that interesting If I had it my way I would be a ghost And abandon the white sheet God, its so hard to be seen  Think Id like to be invisible Become one with the living room wallpaper at your party Wouldnt mind disappearing But you always say you would miss me Who am I kidding? Even if I meant it Id probably still visit I know how you hate to be lonely I could float around and rearrange objects To a conversation piece  Come back as anyone else, a better version of myself A costumed monstrosity And it already feels when you hold me That your hands could pass right through my body So do you think when I die Id get a second try? To do everything right I couldnt the first time?"
Julien Baker,Sad Song 12 (New Song) (Live),"If I could do what I want, Id become an electrician Id crawl inside my ears and Id rearrange the wires in my brain A different me would be inhabiting this body Have two cars, a garage, a job, and I would go to church on Sunday  A diagram of faulty circuitry explains how I was made Now the engineer is listening as I voice all my complaints From an orchestra of shaking metal, keeping me awake I was just wondering if theres any way that you made a mistake?  Cause I miss you the way that I miss nicotine If it makes me feel better, how bad can it be? Well, I heard theres a fix for everything Well then why, then why, then why, then why not me?  The first of April saw the sick and in repair Wore my best shirt to the clinic, decorated with the laminate name No one is laughing from an audience of folding plastic chairs And Im not fooled when you tell me that youre glad I came  Am I honest to admit Im just a hypocrite? I know I should be being optimistic, but Im doubtful I can change Grit my teeth and try to act deserving When I know there is nowhere I can hide from your humiliating grace  Cause if you swear that its true, then I have to believe What I hear evangelicals say on TV God, if theres enough left after everyone else Then why, then why, then why, then why not me?"
Lucy Dacus,Pillar of Truth," Your hands are folded Your eyes are closing Your words are broken Your eyes are dry   I'm weak looking at you, a pillar of truth, turning to dust I'm weak looking at you, a pillar of truth, turning to dust   You are your mother's child You're a mother of a mother of a mother now Raised in the age of the milkman I can't claim to understand   I'm weak looking at you, a pillar of truth, turning to dust I'm weak looking at you, a pillar of truth, turning to dust   Lord, prepare me For the shadows For the sparrows At my window Lord, have mercy On my descendants For they know not what they do For they know not who you are, Lord And they know not what to do   I, the anchor, am slowly sinking Into darkness yet unknown But the fading light around me Is full of faces who carry my name   I'm weak looking at you, a pillar of truth, turning to dust I'm weak looking at you, a pillar of truth, turning to dust   Lord, be near me My final hour I once had sight But now I'm blind Oh, I tried to be A second coming And if I was Nobody knew If my throat can't sing Then my soul screams out to you!   I'm weak looking at you, a pillar of truth, turning to dust I'm weak looking at you, a pillar of truth, turning to dust"
